Fp,Block,Trial,Stimulus,Cue1_English,Cue2_English,Criterium_English,Response_as numeric output,condition,response_raw,Experiment
149,3,61,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
149,3,62,10,Average,Very little,High,70,1,High,1
149,3,63,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
149,3,64,3,Very little,Average,Low,30,1,Low,1
149,3,65,11,Average,A little,Somewhat high,70,1,High,1
149,3,66,7,A little,Average,Somewhat low,30,1,Low,1
149,3,67,23,Very much,Very much,Normal,50,1,Normal,1
149,3,68,18,A lot,A lot,Normal,50,1,Normal,1
149,3,69,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
149,4,70,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
149,4,71,12,Average,Average,Normal,50,1,Normal,1
149,4,72,5,A little,Very little,Somewhat high,60,1,Somewhat high,1
149,4,73,10,Average,Very little,High,70,1,High,1
149,4,74,7,A little,Average,Somewhat low,30,1,Low,1
149,4,75,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
149,4,76,16,A lot,A little,High,70,1,High,1
149,4,77,6,A little,A little,Normal,50,1,Normal,1
149,4,78,21,Very much,Average,High,70,1,High,1
149,4,79,18,A lot,A lot,Normal,50,1,Normal,1
149,4,80,13,Average,A lot,Somewhat low,40,1,Somewhat low,1
149,4,81,14,Average,Very much,Low,30,1,Low,1
149,4,82,20,Very much,A little,Very high,80,1,Very high,1
149,4,83,8,A little,A lot,Low,30,1,Low,1
149,4,84,4,Very little,A lot,Very low,20,1,Very low,1
149,4,85,3,Very little,Average,Low,30,1,Low,1
149,4,86,1,Very little,Very little,Normal,50,1,Normal,1
149,4,87,9,A little,Very much,Very low,20,1,Very low,1
149,4,88,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
149,4,89,15,A lot,Very little,Very high,80,1,Very high,1
149,4,90,11,Average,A little,Somewhat high,60,1,Somewhat high,1
149,4,91,23,Very much,Very much,Normal,50,1,Normal,1
149,4,92,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
149,5,93,23,Very much,Very much,Normal,50,1,Normal,1
149,5,94,7,A little,Average,Somewhat low,40,1,Somewhat low,1
149,5,95,11,Average,A little,Somewhat high,60,1,Somewhat high,1
149,5,96,15,A lot,Very little,Very high,70,1,High,1
149,5,97,21,Very much,Average,High,70,1,High,1
149,5,98,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
149,5,99,5,A little,Very little,Somewhat high,60,1,Somewhat high,1
149,5,100,18,A lot,A lot,Normal,50,1,Normal,1
149,5,101,12,Average,Average,Normal,50,1,Normal,1
149,5,102,16,A lot,A little,High,60,1,Somewhat high,1
149,5,103,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
149,5,104,20,Very much,A little,Very high,80,1,Very high,1
149,5,105,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
149,5,106,6,A little,A little,Normal,50,1,Normal,1
149,5,107,3,Very little,Average,Low,30,1,Low,1
149,5,108,1,Very little,Very little,Normal,50,1,Normal,1
149,5,109,8,A little,A lot,Low,20,1,Very low,1
149,5,110,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
149,5,111,9,A little,Very much,Very low,20,1,Very low,1
149,5,112,10,Average,Very little,High,70,1,High,1
149,5,113,14,Average,Very much,Low,30,1,Low,1
149,5,114,4,Very little,A lot,Very low,20,1,Very low,1
149,5,115,13,Average,A lot,Somewhat low,40,1,Somewhat low,1
149,6,116,18,A lot,A lot,Normal,50,1,Normal,1
149,6,117,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
149,6,118,8,A little,A lot,Low,30,1,Low,1
149,6,119,6,A little,A little,Normal,50,1,Normal,1
149,6,120,12,Average,Average,Normal,50,1,Normal,1
149,6,121,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
149,6,122,13,Average,A lot,Somewhat low,40,1,Somewhat low,1
149,6,123,9,A little,Very much,Very low,20,1,Very low,1
149,6,124,20,Very much,A little,Very high,80,1,Very high,1
149,6,125,1,Very little,Very little,Normal,50,1,Normal,1
149,6,126,7,A little,Average,Somewhat low,30,1,Low,1
149,6,127,5,A little,Very little,Somewhat high,60,1,Somewhat high,1
149,6,128,14,Average,Very much,Low,20,1,Very low,1
149,6,129,15,A lot,Very little,Very high,80,1,Very high,1
149,6,130,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
149,6,131,11,Average,A little,Somewhat high,70,1,High,1
149,6,132,3,Very little,Average,Low,30,1,Low,1
149,6,133,16,A lot,A little,High,60,1,Somewhat high,1
149,6,134,23,Very much,Very much,Normal,50,1,Normal,1
149,6,135,10,Average,Very little,High,70,1,High,1
149,6,136,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
149,6,137,4,Very little,A lot,Very low,30,1,Low,1
149,6,138,21,Very much,Average,High,70,1,High,1
149,7,139,18,A lot,A lot,Normal,50,1,Normal,1
149,7,140,15,A lot,Very little,Very high,80,1,Very high,1
149,7,141,6,A little,A little,Normal,50,1,Normal,1
149,7,142,10,Average,Very little,High,70,1,High,1
149,7,143,1,Very little,Very little,Normal,50,1,Normal,1
149,7,144,5,A little,Very little,Somewhat high,60,1,Somewhat high,1
149,7,145,11,Average,A little,Somewhat high,60,1,Somewhat high,1
149,7,146,8,A little,A lot,Low,40,1,Somewhat low,1
149,7,147,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
149,7,148,12,Average,Average,Normal,50,1,Normal,1
149,7,149,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
149,7,150,2,Very little,A little,Somewhat low,60,1,Somewhat high,1
149,7,151,9,A little,Very much,Very low,20,1,Very low,1
149,7,152,13,Average,A lot,Somewhat low,30,1,Low,1
149,7,153,16,A lot,A little,High,50,1,Normal,1
149,7,154,4,Very little,A lot,Very low,50,1,Normal,1
149,7,155,3,Very little,Average,Low,50,1,Normal,1
149,7,156,7,A little,Average,Somewhat low,50,1,Normal,1
149,7,157,21,Very much,Average,High,50,1,Normal,1
149,7,158,14,Average,Very much,Low,50,1,Normal,1
149,7,159,23,Very much,Very much,Normal,50,1,Normal,1
149,7,160,17,A lot,Average,Somewhat high,50,1,Normal,1
149,7,161,20,Very much,A little,Very high,50,1,Normal,1
149,8,162,2,Very little,A little,Somewhat low,50,1,Normal,1
149,8,163,10,Average,Very little,High,50,1,Normal,1
149,8,164,3,Very little,Average,Low,50,1,Normal,1
149,8,165,22,Very much,A lot,Somewhat high,50,1,Normal,1
149,8,166,6,A little,A little,Normal,50,1,Normal,1
149,8,167,14,Average,Very much,Low,50,1,Normal,1
149,8,168,12,Average,Average,Normal,50,1,Normal,1
149,8,169,4,Very little,A lot,Very low,50,1,Normal,1
149,8,170,23,Very much,Very much,Normal,50,1,Normal,1
149,8,171,13,Average,A lot,Somewhat low,50,1,Normal,1
149,8,172,16,A lot,A little,High,50,1,Normal,1
149,8,173,19,A lot,Very much,Somewhat low,50,1,Normal,1
149,8,174,5,A little,Very little,Somewhat high,50,1,Normal,1
149,8,175,11,Average,A little,Somewhat high,50,1,Normal,1
149,8,176,8,A little,A lot,Low,50,1,Normal,1
149,8,177,20,Very much,A little,Very high,50,1,Normal,1
149,8,178,9,A little,Very much,Very low,50,1,Normal,1
149,8,179,21,Very much,Average,High,50,1,Normal,1
149,8,180,18,A lot,A lot,Normal,50,1,Normal,1
149,8,181,17,A lot,Average,Somewhat high,50,1,Normal,1
149,8,182,15,A lot,Very little,Very high,50,1,Normal,1
149,8,183,7,A little,Average,Somewhat low,50,1,Normal,1
149,8,184,1,Very little,Very little,Normal,50,1,Normal,1
149,9,185,23,Very much,Very much,Normal,50,1,Normal,1
149,9,186,21,Very much,Average,High,50,1,Normal,1
149,9,187,20,Very much,A little,Very high,50,1,Normal,1
149,9,188,4,Very little,A lot,Very low,50,1,Normal,1
149,9,189,11,Average,A little,Somewhat high,50,1,Normal,1
149,9,190,16,A lot,A little,High,50,1,Normal,1
149,9,191,10,Average,Very little,High,50,1,Normal,1
149,9,192,14,Average,Very much,Low,50,1,Normal,1
149,9,193,12,Average,Average,Normal,50,1,Normal,1
149,9,194,13,Average,A lot,Somewhat low,50,1,Normal,1
149,9,195,19,A lot,Very much,Somewhat low,50,1,Normal,1
149,9,196,8,A little,A lot,Low,50,1,Normal,1
149,9,197,17,A lot,Average,Somewhat high,50,1,Normal,1
149,9,198,15,A lot,Very little,Very high,50,1,Normal,1
149,9,199,9,A little,Very much,Very low,50,1,Normal,1
149,9,200,2,Very little,A little,Somewhat low,50,1,Normal,1
149,9,201,7,A little,Average,Somewhat low,50,1,Normal,1
149,9,202,22,Very much,A lot,Somewhat high,50,1,Normal,1
149,9,203,3,Very little,Average,Low,50,1,Normal,1
149,9,204,6,A little,A little,Normal,50,1,Normal,1
149,9,205,5,A little,Very little,Somewhat high,50,1,Normal,1
149,9,206,18,A lot,A lot,Normal,50,1,Normal,1
149,9,207,1,Very little,Very little,Normal,50,1,Normal,1
149,10,208,5,A little,Very little,Somewhat high,50,1,Normal,1
149,10,209,20,Very much,A little,Very high,50,1,Normal,1
149,10,210,1,Very little,Very little,Normal,50,1,Normal,1
149,10,211,2,Very little,A little,Somewhat low,50,1,Normal,1
149,10,212,11,Average,A little,Somewhat high,50,1,Normal,1
149,10,213,3,Very little,Average,Low,50,1,Normal,1
149,10,214,13,Average,A lot,Somewhat low,50,1,Normal,1
149,10,215,21,Very much,Average,High,70,1,High,1
149,10,216,14,Average,Very much,Low,30,1,Low,1
149,10,217,23,Very much,Very much,Normal,50,1,Normal,1
149,10,218,16,A lot,A little,High,70,1,High,1
149,10,219,12,Average,Average,Normal,50,1,Normal,1
149,10,220,4,Very little,A lot,Very low,20,1,Very low,1
149,10,221,15,A lot,Very little,Very high,80,1,Very high,1
149,10,222,7,A little,Average,Somewhat low,60,1,Somewhat high,1
149,10,223,9,A little,Very much,Very low,20,1,Very low,1
149,10,224,18,A lot,A lot,Normal,50,1,Normal,1
149,10,225,22,Very much,A lot,Somewhat high,60,1,Somewhat high,1
149,10,226,19,A lot,Very much,Somewhat low,40,1,Somewhat low,1
149,10,227,17,A lot,Average,Somewhat high,60,1,Somewhat high,1
149,10,228,8,A little,A lot,Low,30,1,Low,1
149,10,229,10,Average,Very little,High,70,1,High,1
149,10,230,6,A little,A little,Normal,50,1,Normal,1
149,11,1,12,Average,A little,Somewhat high,60,1,Somewhat high,1
149,11,2,5,Very little,Very much,Extremely low,10,1,Extremely low,1
149,11,3,21,Very much,Very little,Extremely high,90,1,Extremely high,1
149,11,4,22,Very much,A little,Very high,80,1,Very high,1
149,11,5,19,A lot,A lot,Normal,50,1,Normal,1
149,11,6,4,Very little,A lot,Very low,20,1,Very low,1
149,11,7,24,Very much,A lot,Somewhat high,60,1,Somewhat high,1
149,11,8,2,Very little,A little,Somewhat low,40,1,Somewhat low,1
149,11,9,20,A lot,Very much,Somewhat low,40,1,Somewhat low,1
149,11,10,8,A little,Average,Somewhat low,40,1,Somewhat low,1
149,11,11,6,A little,Very little,Somewhat high,60,1,Somewhat high,1
149,11,12,3,Very little,Average,Low,30,1,Low,1
149,11,13,18,A lot,Average,Somewhat high,60,1,Somewhat high,1
149,11,14,11,Average,Very little,High,70,1,High,1
149,11,15,9,A little,A lot,Low,30,1,Low,1
149,11,16,23,Very much,Average,High,70,1,High,1
149,11,17,16,A lot,Very little,Very high,80,1,Very high,1
149,11,18,1,Very little,Very little,Normal,50,1,Normal,1
149,11,19,10,A little,Very much,Very low,20,1,Very low,1
149,11,20,13,Average,Average,Normal,50,1,Normal,1
149,11,21,14,Average,A lot,Somewhat low,40,1,Somewhat low,1
149,11,22,7,A little,A little,Normal,50,1,Normal,1
149,11,23,25,Very much,Very much,Normal,50,1,Normal,1
149,11,24,17,A lot,A little,High,70,1,High,1
149,11,25,15,Average,Very much,Low,30,1,Low,1
149,12,26,5,Very little,Very much,Extremely low,10,1,Extremely low,1
149,12,27,24,Very much,A lot,Somewhat high,60,1,Somewhat high,1
149,12,28,22,Very much,A little,Very high,80,1,Very high,1
149,12,29,12,Average,A little,Somewhat high,60,1,Somewhat high,1
149,12,30,17,A lot,A little,High,70,1,High,1
149,12,31,13,Average,Average,Normal,50,1,Normal,1
149,12,32,6,A little,Very little,Somewhat high,60,1,Somewhat high,1
149,12,33,23,Very much,Average,High,70,1,High,1
149,12,34,9,A little,A lot,Low,30,1,Low,1
149,12,35,19,A lot,A lot,Normal,50,1,Normal,1
149,12,36,14,Average,A lot,Somewhat low,40,1,Somewhat low,1
149,12,37,3,Very little,Average,Low,30,1,Low,1
149,12,38,1,Very little,Very little,Normal,50,1,Normal,1
149,12,39,10,A little,Very much,Very low,20,1,Very low,1
149,12,40,16,A lot,Very little,Very high,80,1,Very high,1
149,12,41,7,A little,A little,Normal,50,1,Normal,1
149,12,42,20,A lot,Very much,Somewhat low,20,1,Very low,1
149,12,43,11,Average,Very little,High,70,1,High,1
149,12,44,4,Very little,A lot,Very low,20,1,Very low,1
149,12,45,8,A little,Average,Somewhat low,40,1,Somewhat low,1
149,12,46,18,A lot,Average,Somewhat high,60,1,Somewhat high,1
149,12,47,15,Average,Very much,Low,30,1,Low,1
149,12,48,25,Very much,Very much,Normal,50,1,Normal,1
149,12,49,2,Very little,A little,Somewhat low,60,1,Somewhat high,1
149,12,50,21,Very much,Very little,Extremely high,90,1,Extremely high,1
150,1,1,15,4,1,80,30,2,30,1
150,1,2,18,4,4,50,50,2,50,1
150,1,3,16,4,2,70,70,2,70,1
150,1,4,13,3,4,40,40,2,40,1
150,1,5,19,4,5,40,40,2,40,1
150,1,6,8,2,4,30,30,2,30,1
150,1,7,6,2,2,50,50,2,50,1
150,1,8,17,4,3,60,60,2,60,1
150,1,9,7,2,3,40,60,2,60,1
150,1,10,9,2,5,20,30,2,30,1
150,1,11,21,5,3,70,70,2,70,1
150,1,12,12,3,3,50,50,2,50,1
150,1,13,22,5,4,60,60,2,60,1
150,1,14,14,3,5,30,30,2,30,1
150,1,15,10,3,1,70,70,2,70,1
150,1,16,11,3,2,60,60,2,60,1
150,1,17,2,1,2,40,40,2,40,1
150,1,18,3,1,3,30,30,2,30,1
150,1,19,1,1,1,50,50,2,50,1
150,1,20,20,5,2,80,80,2,80,1
150,1,21,23,5,5,50,50,2,50,1
150,1,22,4,1,4,20,20,2,20,1
150,1,23,5,2,1,60,60,2,60,1
150,2,24,9,2,5,20,20,2,20,1
150,2,25,17,4,3,60,60,2,60,1
150,2,26,22,5,4,60,60,2,60,1
150,2,27,16,4,2,70,70,2,70,1
150,2,28,15,4,1,80,80,2,80,1
150,2,29,19,4,5,40,40,2,40,1
150,2,30,7,2,3,40,40,2,40,1
150,2,31,4,1,4,20,20,2,20,1
150,2,32,13,3,4,40,40,2,40,1
150,2,33,14,3,5,30,30,2,30,1
150,2,34,20,5,2,80,80,2,80,1
150,2,35,3,1,3,30,30,2,30,1
150,2,36,5,2,1,60,60,2,60,1
150,2,37,18,4,4,50,50,2,50,1
150,2,38,10,3,1,70,70,2,70,1
150,2,39,23,5,5,50,50,2,50,1
150,2,40,1,1,1,50,50,2,50,1
150,2,41,2,1,2,40,40,2,40,1
150,2,42,6,2,2,50,50,2,50,1
150,2,43,11,3,2,60,60,2,60,1
150,2,44,8,2,4,30,70,2,70,1
150,2,45,21,5,3,70,70,2,70,1
150,2,46,12,3,3,50,50,2,50,1
150,3,47,22,5,4,60,60,2,60,1
150,3,48,20,5,2,80,70,2,70,1
150,3,49,14,3,5,30,30,2,30,1
150,3,50,9,2,5,20,20,2,20,1
150,3,51,16,4,2,70,70,2,70,1
150,3,52,11,3,2,60,60,2,60,1
150,3,53,1,1,1,50,50,2,50,1
150,3,54,7,2,3,40,40,2,40,1
150,3,55,2,1,2,40,40,2,40,1
150,3,56,21,5,3,70,70,2,70,1
150,3,57,3,1,3,30,30,2,30,1
150,3,58,4,1,4,20,20,2,20,1
150,3,59,19,4,5,40,40,2,40,1
150,3,60,18,4,4,50,50,2,50,1
150,3,61,10,3,1,70,70,2,70,1
150,3,62,12,3,3,50,50,2,50,1
150,3,63,23,5,5,50,50,2,50,1
150,3,64,13,3,4,40,40,2,40,1
150,3,65,8,2,4,30,30,2,30,1
150,3,66,15,4,1,80,20,2,20,1
150,3,67,6,2,2,50,50,2,50,1
150,3,68,5,2,1,60,60,2,60,1
150,3,69,17,4,3,60,60,2,60,1
150,4,70,18,4,4,50,50,2,50,1
150,4,71,6,2,2,50,50,2,50,1
150,4,72,10,3,1,70,70,2,70,1
150,4,73,19,4,5,40,40,2,40,1
150,4,74,22,5,4,60,60,2,60,1
150,4,75,8,2,4,30,30,2,30,1
150,4,76,16,4,2,70,70,2,70,1
150,4,77,7,2,3,40,40,2,40,1
150,4,78,2,1,2,40,40,2,40,1
150,4,79,9,2,5,20,20,2,20,1
150,4,80,3,1,3,30,30,2,30,1
150,4,81,12,3,3,50,50,2,50,1
150,4,82,5,2,1,60,60,2,60,1
150,4,83,20,5,2,80,80,2,80,1
150,4,84,21,5,3,70,70,2,70,1
150,4,85,23,5,5,50,50,2,50,1
150,4,86,13,3,4,40,40,2,40,1
150,4,87,11,3,2,60,60,2,60,1
150,4,88,4,1,4,20,20,2,20,1
150,4,89,14,3,5,30,30,2,30,1
150,4,90,1,1,1,50,50,2,50,1
150,4,91,15,4,1,80,80,2,80,1
150,4,92,17,4,3,60,60,2,60,1
150,5,93,6,2,2,50,50,2,50,1
150,5,94,9,2,5,20,20,2,20,1
150,5,95,5,2,1,60,60,2,60,1
150,5,96,12,3,3,50,50,2,50,1
150,5,97,4,1,4,20,20,2,20,1
150,5,98,8,2,4,30,30,2,30,1
150,5,99,19,4,5,40,40,2,40,1
150,5,100,7,2,3,40,40,2,40,1
150,5,101,21,5,3,70,70,2,70,1
150,5,102,15,4,1,80,80,2,80,1
150,5,103,16,4,2,70,70,2,70,1
150,5,104,11,3,2,60,60,2,60,1
150,5,105,20,5,2,80,80,2,80,1
150,5,106,22,5,4,60,60,2,60,1
150,5,107,17,4,3,60,60,2,60,1
150,5,108,18,4,4,50,50,2,50,1
150,5,109,10,3,1,70,70,2,70,1
150,5,110,23,5,5,50,50,2,50,1
150,5,111,2,1,2,40,40,2,40,1
150,5,112,1,1,1,50,50,2,50,1
150,5,113,3,1,3,30,30,2,30,1
150,5,114,13,3,4,40,40,2,40,1
150,5,115,14,3,5,30,30,2,30,1
150,6,116,9,2,5,20,20,2,20,1
150,6,117,11,3,2,60,60,2,60,1
150,6,118,6,2,2,50,50,2,50,1
150,6,119,7,2,3,40,40,2,40,1
150,6,120,21,5,3,70,70,2,70,1
150,6,121,2,1,2,40,40,2,40,1
150,6,122,22,5,4,60,60,2,60,1
150,6,123,19,4,5,40,40,2,40,1
150,6,124,13,3,4,40,40,2,40,1
150,6,125,8,2,4,30,30,2,30,1
150,6,126,15,4,1,80,80,2,80,1
150,6,127,23,5,5,50,50,2,50,1
150,6,128,10,3,1,70,70,2,70,1
150,6,129,16,4,2,70,70,2,70,1
150,6,130,18,4,4,50,50,2,50,1
150,6,131,4,1,4,20,20,2,20,1
150,6,132,3,1,3,30,30,2,30,1
150,6,133,1,1,1,50,50,2,50,1
150,6,134,14,3,5,30,30,2,30,1
150,6,135,12,3,3,50,50,2,50,1
150,6,136,5,2,1,60,60,2,60,1
150,6,137,20,5,2,80,80,2,80,1
150,6,138,17,4,3,60,60,2,60,1
150,7,139,6,2,2,50,50,2,50,1
150,7,140,9,2,5,20,20,2,20,1
150,7,141,23,5,5,50,50,2,50,1
150,7,142,13,3,4,40,40,2,40,1
150,7,143,5,2,1,60,60,2,60,1
150,7,144,3,1,3,30,30,2,30,1
150,7,145,22,5,4,60,60,2,60,1
150,7,146,4,1,4,20,20,2,20,1
150,7,147,10,3,1,70,70,2,70,1
150,7,148,2,1,2,40,40,2,40,1
150,7,149,15,4,1,80,80,2,80,1
150,7,150,1,1,1,50,50,2,50,1
150,7,151,11,3,2,60,60,2,60,1
150,7,152,8,2,4,30,30,2,30,1
150,7,153,16,4,2,70,70,2,70,1
150,7,154,21,5,3,70,70,2,70,1
150,7,155,18,4,4,50,50,2,50,1
150,7,156,20,5,2,80,80,2,80,1
150,7,157,12,3,3,50,50,2,50,1
150,7,158,17,4,3,60,60,2,60,1
150,7,159,7,2,3,40,40,2,40,1
150,7,160,14,3,5,30,30,2,30,1
150,7,161,19,4,5,40,40,2,40,1
150,8,162,19,4,5,40,40,2,40,1
150,8,163,2,1,2,40,40,2,40,1
150,8,164,17,4,3,60,60,2,60,1
150,8,165,12,3,3,50,50,2,50,1
150,8,166,3,1,3,30,30,2,30,1
150,8,167,1,1,1,50,50,2,50,1
150,8,168,8,2,4,30,30,2,30,1
150,8,169,15,4,1,80,80,2,80,1
150,8,170,20,5,2,80,80,2,80,1
150,8,171,21,5,3,70,70,2,70,1
150,8,172,4,1,4,20,20,2,20,1
150,8,173,22,5,4,60,60,2,60,1
150,8,174,6,2,2,50,50,2,50,1
150,8,175,23,5,5,50,50,2,50,1
150,8,176,10,3,1,70,70,2,70,1
150,8,177,9,2,5,20,20,2,20,1
150,8,178,13,3,4,40,40,2,40,1
150,8,179,11,3,2,60,60,2,60,1
150,8,180,18,4,4,50,50,2,50,1
150,8,181,16,4,2,70,70,2,70,1
150,8,182,14,3,5,30,30,2,30,1
150,8,183,5,2,1,60,60,2,60,1
150,8,184,7,2,3,40,40,2,40,1
150,9,185,2,1,2,40,40,2,40,1
150,9,186,22,5,4,60,60,2,60,1
150,9,187,19,4,5,40,40,2,40,1
150,9,188,16,4,2,70,70,2,70,1
150,9,189,12,3,3,50,50,2,50,1
150,9,190,15,4,1,80,80,2,80,1
150,9,191,3,1,3,30,30,2,30,1
150,9,192,7,2,3,40,40,2,40,1
150,9,193,13,3,4,40,40,2,40,1
150,9,194,1,1,1,50,50,2,50,1
150,9,195,17,4,3,60,60,2,60,1
150,9,196,14,3,5,30,30,2,30,1
150,9,197,20,5,2,80,80,2,80,1
150,9,198,18,4,4,50,50,2,50,1
150,9,199,11,3,2,60,60,2,60,1
150,9,200,9,2,5,20,20,2,20,1
150,9,201,4,1,4,20,20,2,20,1
150,9,202,6,2,2,50,50,2,50,1
150,9,203,10,3,1,70,70,2,70,1
150,9,204,23,5,5,50,50,2,50,1
150,9,205,5,2,1,60,60,2,60,1
150,9,206,8,2,4,30,30,2,30,1
150,9,207,21,5,3,70,70,2,70,1
150,10,208,11,3,2,60,60,2,60,1
150,10,209,16,4,2,70,70,2,70,1
150,10,210,9,2,5,20,20,2,20,1
150,10,211,8,2,4,30,30,2,30,1
150,10,212,14,3,5,30,30,2,30,1
150,10,213,7,2,3,40,40,2,40,1
150,10,214,18,4,4,50,50,2,50,1
150,10,215,17,4,3,60,60,2,60,1
150,10,216,6,2,2,50,50,2,50,1
150,10,217,23,5,5,50,50,2,50,1
150,10,218,22,5,4,60,60,2,60,1
150,10,219,2,1,2,40,40,2,40,1
150,10,220,12,3,3,50,50,2,50,1
150,10,221,1,1,1,50,50,2,50,1
150,10,222,10,3,1,70,70,2,70,1
150,10,223,13,3,4,40,40,2,40,1
150,10,224,3,1,3,30,30,2,30,1
150,10,225,4,1,4,20,20,2,20,1
150,10,226,5,2,1,60,60,2,60,1
150,10,227,20,5,2,80,80,2,80,1
150,10,228,15,4,1,80,70,2,70,1
150,10,229,21,5,3,70,70,2,70,1
150,10,230,19,4,5,40,40,2,40,1
150,11,1,17,4,2,70,70,2,70,1
150,11,2,22,5,2,80,80,2,80,1
150,11,3,1,1,1,50,50,2,50,1
150,11,4,3,1,3,30,30,2,30,1
150,11,5,20,4,5,40,40,2,40,1
150,11,6,16,4,1,80,80,2,80,1
150,11,7,25,5,5,50,50,2,50,1
150,11,8,24,5,4,60,60,2,60,1
150,11,9,9,2,4,30,30,2,30,1
150,11,10,10,2,5,20,20,2,20,1
150,11,11,21,5,1,90,90,2,90,1
150,11,12,7,2,2,50,50,2,50,1
150,11,13,4,1,4,20,20,2,20,1
150,11,14,19,4,4,50,50,2,50,1
150,11,15,23,5,3,70,70,2,70,1
150,11,16,6,2,1,60,60,2,60,1
150,11,17,11,3,1,70,70,2,70,1
150,11,18,13,3,3,50,50,2,50,1
150,11,19,14,3,4,40,40,2,40,1
150,11,20,18,4,3,60,60,2,60,1
150,11,21,2,1,2,40,40,2,40,1
150,11,22,8,2,3,40,40,2,40,1
150,11,23,15,3,5,30,30,2,30,1
150,11,24,12,3,2,60,60,2,60,1
150,11,25,5,1,5,10,10,2,10,1
150,12,26,17,4,2,70,70,2,70,1
150,12,27,11,3,1,70,70,2,70,1
150,12,28,7,2,2,50,50,2,50,1
150,12,29,6,2,1,60,60,2,60,1
150,12,30,21,5,1,90,90,2,90,1
150,12,31,25,5,5,50,50,2,50,1
150,12,32,12,3,2,60,60,2,60,1
150,12,33,4,1,4,20,20,2,20,1
150,12,34,24,5,4,60,60,2,60,1
150,12,35,8,2,3,40,40,2,40,1
150,12,36,22,5,2,80,80,2,80,1
150,12,37,5,1,5,10,10,2,10,1
150,12,38,9,2,4,30,30,2,30,1
150,12,39,1,1,1,50,50,2,50,1
150,12,40,10,2,5,20,20,2,20,1
150,12,41,23,5,3,70,70,2,70,1
150,12,42,16,4,1,80,80,2,80,1
150,12,43,14,3,4,40,40,2,40,1
150,12,44,3,1,3,30,30,2,30,1
150,12,45,18,4,3,60,60,2,60,1
150,12,46,15,3,5,30,30,2,30,1
150,12,47,13,3,3,50,50,2,50,1
150,12,48,19,4,4,50,50,2,50,1
150,12,49,20,4,5,40,40,2,40,1
150,12,50,2,1,2,40,40,2,40,1
151,1,1,6,A little,A little,Somewhat high,30,3,Low,1
151,1,2,22,Very much,A lot,High,40,3,Somewhat low,1
151,1,3,9,A little,Very much,Low,50,3,Normal,1
151,1,4,8,A little,A lot,Somewhat low,30,3,Low,1
151,1,5,16,A lot,A little,Somewhat low,70,3,High,1
151,1,6,7,A little,Average,Normal,50,3,Normal,1
151,1,7,3,Very little,A lot,Low,40,3,Somewhat low,1
151,1,8,20,Very much,A little,Low,70,3,High,1
151,1,9,2,Very little,Average,Normal,40,3,Somewhat low,1
151,1,10,21,Very much,Average,Normal,60,3,Somewhat high,1
151,1,11,17,A lot,Average,Normal,60,3,Somewhat high,1
151,1,12,10,Average,Very little,Normal,50,3,Normal,1
151,1,13,11,Average,A little,Normal,50,3,Normal,1
151,1,14,1,Very little,A little,High,60,3,Somewhat high,1
151,1,15,13,Average,A lot,Normal,50,3,Normal,1
151,1,16,18,A lot,A lot,Somewhat high,50,3,Normal,1
151,1,17,23,Very much,Very much,Extremely high,70,3,High,1
151,1,18,5,A little,Very little,High,60,3,Somewhat high,1
151,1,19,15,A lot,Very little,Low,60,3,Somewhat high,1
151,1,20,14,Average,Very much,Normal,50,3,Normal,1
151,1,21,19,A lot,Very much,High,60,3,Somewhat high,1
151,1,22,12,Average,Average,Normal,60,3,Somewhat high,1
151,1,23,4,Very little,Very much,Extremely low,30,3,Low,1
151,2,24,15,A lot,Very little,Low,30,3,Low,1
151,2,25,23,Very much,Very much,Extremely high,70,3,High,1
151,2,26,6,A little,A little,Somewhat high,30,3,Low,1
151,2,27,3,Very little,A lot,Low,30,3,Low,1
151,2,28,9,A little,Very much,Low,40,3,Somewhat low,1
151,2,29,5,A little,Very little,High,70,3,High,1
151,2,30,10,Average,Very little,Normal,50,3,Normal,1
151,2,31,8,A little,A lot,Somewhat low,30,3,Low,1
151,2,32,19,A lot,Very much,High,70,3,High,1
151,2,33,2,Very little,Average,Normal,40,3,Somewhat low,1
151,2,34,14,Average,Very much,Normal,50,3,Normal,1
151,2,35,16,A lot,A little,Somewhat low,40,3,Somewhat low,1
151,2,36,13,Average,A lot,Normal,60,3,Somewhat high,1
151,2,37,17,A lot,Average,Normal,50,3,Normal,1
